Label,Image,Original Image
Yellow 1,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_1.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-0cb17d1a-ab73-4e94-bedf-14737d089bae?alt=media&token=d9cfd99e-d379-4557-9d6f-4282b8d8dde7
Yellow 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-9a797c44-59c7-472f-b1b1-43e3cc993eae?alt=media&token=285c24ff-6c87-43ae-95bd-dc4fd99c67fa
Yellow 3,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_3.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-5cb5c0dd-f44a-4bcb-9986-22e5b9dff1ae?alt=media&token=e939c78b-9b85-4ba8-bafa-8cf8ba03b534
Yellow 4,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_4.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-a4c135cc-7aab-4622-a4f5-3227168e3f49?alt=media&token=0a80c622-62d4-4eb0-9345-fd5fefbc9e72
Yellow 5,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_5.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-e2c4b734-37e6-43ea-a68a-663b9a17d48d?alt=media&token=15dffcec-6066-43f0-bddc-ff9e08d3a387
Yellow 6,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_6.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-c8837c2a-88ed-45e5-b228-157f63342230?alt=media&token=51786b13-6385-45d6-a7a9-3c3d3ca4500b
Yellow 7,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_7.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-7aecc65e-458c-44e9-aaa5-67fe91974b07?alt=media&token=93cdfadb-105c-4efc-a2c8-24d8a34ff021
Yellow 8,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_8.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-34a312f7-df23-4f32-b672-c0e7a2557405?alt=media&token=baa62b63-4592-4b30-9aa1-9a68ceadc2db
Yellow 9,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_9.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-5aa01b5c-74a3-41ad-bd09-058b29d7eeeb?alt=media&token=f5f746b9-5ca4-4657-b388-e3ef7b1a109d
Green 0,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_0.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-e49eaa8e-0c7d-4d7a-8938-ac5a7e9a149d?alt=media&token=08cc23a6-caf4-42ec-a4aa-06cf7902623d
Green 1,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_1.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-cb1a1092-c463-4d99-b4c1-28f26bb06bc8?alt=media&token=e21f7321-6b12-403a-8808-edfc0f18637e
Green 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-0360510b-c8d4-4af3-84cf-c67e77de2bee?alt=media&token=c407b42c-9b50-4315-aad9-5fe909ee6fe3
Green 3,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_3.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-b92c37ce-9b8b-479d-b295-3db7ba5140d7?alt=media&token=1e00bcee-3994-4789-bed6-74051397e311
Green 4,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_4.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-62b9566f-47f3-48db-bc20-3649f643d5d3?alt=media&token=49146870-2b13-49f0-8b36-5b9723a19e5b
Green 5,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_5.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-fed7c7b1-7b9e-4380-b520-4b86956e49e5?alt=media&token=187e2604-6220-4452-9e55-afbfbbe3d746
Green 6,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_6.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-87247d7c-a58b-45a7-92a1-aa3c348d7711?alt=media&token=24a1a1d3-4342-47f3-a0cf-797c5f2db596
Green 7,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_7.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-2286c5b4-bca1-4424-8301-f1e697001bf9?alt=media&token=5d5be8ed-62c1-4a0e-b61d-fd0bbf26753e
Green 8,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_8.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-3161cc19-25d6-4cbb-822f-f48cd1a72849?alt=media&token=aa48b192-13f2-43f8-b88e-3d5b920b82f4
Green 9,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_9.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-a52f7a49-9eec-4ad6-987c-0d29452ed421?alt=media&token=cb0bdfe4-fd2e-43f3-b553-4e8e94a3cf57
Blue 0,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_0.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-9ede638a-bc4b-4999-ae3e-2a64bc32a828?alt=media&token=10e3f2af-01a5-4d1b-919c-2a9b1ebb9248
Blue 1,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_1.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-17f2db52-c170-47fe-9678-a368842b8580?alt=media&token=8e67557e-8516-48e3-b844-528f284b7ae6
Blue 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-37ae8467-3c89-40bc-91fb-f2f9452467b7?alt=media&token=321200d8-4f82-4929-bd7e-4043e7524202
Blue 3,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_3.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-7281074f-6ba5-47be-8527-991e5e33a550?alt=media&token=c8a1eb6b-5c32-448f-a7a6-b0089887fd25
Blue 4,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_4.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-80cdd336-3ab6-4336-a8a6-454b8d4a4ee5?alt=media&token=e436fbd3-7f1f-4720-81e1-c9df23ed3c36
Blue 5,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_5.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-19e7725c-a978-4ef6-8b0a-4237aa492341?alt=media&token=aa321827-bedd-4831-9012-c9d7f37319af
Blue 6,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_6.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-84b608dd-f4bb-4620-b0ea-b4c6454ac3a3?alt=media&token=92a80884-c2c8-4268-88d3-cd9262b84652
Blue 7,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_7.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-3f69dbfb-4469-4125-bd97-57a3f87f9bac?alt=media&token=5528ad0a-e81f-4adb-9030-cdcaa995c66c
Blue 8,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_8.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-3c97da1a-5f9b-420b-9799-a0b4c5db6da9?alt=media&token=d77f4bc5-abb4-4f83-b323-a99956e488c2
Blue 9,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_9.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-6d46fbe1-c756-4d64-b586-a1376980ae5c?alt=media&token=1af10227-d0da-4862-8e49-dd94a48e1bd7
Red Skip,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_Skip.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-1564fc01-2f80-448b-9b27-08f467de3266?alt=media&token=4fe79d84-6e48-47c6-b8a2-67b50e6a5d38
Yellow Skip,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_Skip.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-6beb290b-ffe5-48d5-a3af-c699860085f6?alt=media&token=13f2d506-5aa7-47e9-b461-98766ab1a328
Green Skip,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_Skip.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-91e69aed-f778-43d2-a859-db943f3762a0?alt=media&token=931509b4-7b9a-4140-8e10-9fdfe76cb020
Blue Skip,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_Skip.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-b0abaf8a-b136-4689-8edf-0dea595e4323?alt=media&token=6b33ddfb-5cf1-422f-95b6-b7dc9eb4b25a
Red Reverse,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_Reverse.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-f7532ee0-47b4-4e6a-bdff-d0181b5c8c45?alt=media&token=8ba303b4-bdf7-4b89-ab1c-4d23780a2d62
Yellow Reverse,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_Reverse.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-d69a315c-6074-488d-a2dc-5c55dfec2140?alt=media&token=41e8c14d-d615-498b-adbd-862f322836e9
Green Reverse,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_Reverse.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-0b051064-7a0a-4cd4-beca-c46a94f52282?alt=media&token=edc0fc16-d890-434e-b46f-4c92924a4d1b
Blue Reverse,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_Reverse.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-28c62301-20ac-4c94-b722-5486082b1d77?alt=media&token=b57395bf-36aa-48a6-ad4c-de3022faab49
Red Draw 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_Draw_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-2edb40cc-3d49-4eff-9f95-4e9be22f7bb6?alt=media&token=ee05225d-4e03-41c1-85fb-87b30d6d09ec
Yellow Draw 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_Draw_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-17c73f43-e147-4152-8f70-d30c3239d3ae?alt=media&token=c361ed32-3d38-40d4-b874-6da56ed75754
Green Draw 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Green_Draw_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-6baf91a8-8b0b-460d-ad63-f690c99e6703?alt=media&token=4afef284-55db-4f21-9c8d-4c799f1ea8f5
Blue Draw 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Blue_Draw_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-8f23250c-1b10-4eba-ad83-ab69d8d67e28?alt=media&token=f4b43df8-57ff-4181-8967-a7293524241c
Wild Card Change Colour,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Wild_Card_Change_Colour.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-b395425e-b67e-4d05-9be2-b2df77829e39?alt=media&token=ee57176c-8c00-40bd-9a6d-51ef40d1d3ec
Wild Card Draw 4,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Wild_Card_Draw_4.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-9edf02b7-014a-4212-a81a-6d97468bb1a0?alt=media&token=00290578-e11f-4a76-9b7e-a3529d2aa366
